Attribute_group	Rank	Fold	Attribute	PosNeg	n
growth_temperature	strain	Fold7	psychrophile	FP	0
growth_temperature	strain	Fold7	psychrophile	FN	8
growth_temperature	strain	Fold7	psychrophile	TN	381
growth_temperature	strain	Fold7	thermophile	TP	7
growth_temperature	strain	Fold7	thermophile	FP	0
growth_temperature	strain	Fold7	thermophile	FN	4
growth_temperature	strain	Fold7	thermophile	TN	392
growth_temperature	strain	Fold8	hyperthermophile	TP	21
growth_temperature	strain	Fold8	hyperthermophile	FP	0
growth_temperature	strain	Fold8	hyperthermophile	FN	2
growth_temperature	strain	Fold8	hyperthermophile	TN	380
growth_temperature	strain	Fold8	mesophile	TP	339
growth_temperature	strain	Fold8	mesophile	FP	0
growth_temperature	strain	Fold8	mesophile	FN	10
growth_temperature	strain	Fold8	mesophile	TN	54
growth_temperature	strain	Fold8	psychrophile	TP	9
growth_temperature	strain	Fold8	psychrophile	FP	0
growth_temperature	strain	Fold8	psychrophile	FN	8
growth_temperature	strain	Fold8	psychrophile	TN	386
growth_temperature	strain	Fold8	thermophile	TP	10
growth_temperature	strain	Fold8	thermophile	FP	0
growth_temperature	strain	Fold8	thermophile	FN	4
growth_temperature	strain	Fold8	thermophile	TN	389
growth_temperature	strain	Fold9	hyperthermophile	TP	24
growth_temperature	strain	Fold9	hyperthermophile	FP	0
growth_temperature	strain	Fold9	hyperthermophile	FN	0
growth_temperature	strain	Fold9	hyperthermophile	TN	379
growth_temperature	strain	Fold9	mesophile	TP	329
growth_temperature	strain	Fold9	mesophile	FP	0
growth_temperature	strain	Fold9	mesophile	FN	11
growth_temperature	strain	Fold9	mesophile	TN	63
growth_temperature	strain	Fold9	psychrophile	TP	20
growth_temperature	strain	Fold9	psychrophile	FP	0
growth_temperature	strain	Fold9	psychrophile	FN	7
growth_temperature	strain	Fold9	psychrophile	TN	376
growth_temperature	strain	Fold9	thermophile	TP	8
growth_temperature	strain	Fold9	thermophile	FP	0
growth_temperature	strain	Fold9	thermophile	FN	4
growth_temperature	strain	Fold9	thermophile	TN	391
